bank_id,gl_id,bank_description,gl_description,confidence,matched_rules,match_type,bank_amount,gl_amount,amount_difference,bank_date,gl_date,date_difference_days,time_anomaly_6_months,normalized_bank_vendor,normalized_gl_vendor
BANK000018,GL000505,Payment to Global Services,GL Entry: ABC Inc,25.81,"[""amount_only_match""]",amount_only,16281.71,16207.52,74.19,2024-01-29 00:00:00,2024-03-11 00:00:00,42,,,
BANK000019,GL000171,Payment to Global Services,GL Entry: TS Inc,0.96,"[""amount_only_match""]",amount_only,20118.12,20217.16,99.04,2024-02-03 00:00:00,2024-12-04 00:00:00,305,,,
BANK000020,GL000227,Payment to Global Services,GL Entry: Global Services,0.77,"[""amount_only_match""]",amount_only,43830.74,43731.51,99.23,2024-06-10 00:00:00,2024-12-20 00:00:00,193,,,
BANK000021,GL000149,Payment to Consulting Group,GL Entry: ABC Inc,11.67,"[""amount_only_match""]",amount_only,44245.69,44157.36,88.33,2024-11-25 00:00:00,2024-08-18 00:00:00,99,,,
BANK000022,GL000115,Payment to Data Systems,GL Entry: X Y Z Corp,35.48,"[""amount_only_match""]",amount_only,12406.71,12342.19,64.52,2024-10-14 00:00:00,2024-05-10 00:00:00,157,,,
BANK000023,GL000428,Payment to Audit Solutions,GL Entry: GLOBAL SERVICES INC,49.95,"[""amount_only_match""]",amount_only,21478.85,21428.8,50.05,2024-10-25 00:00:00,2024-12-14 00:00:00,50,,,
BANK000024,GL000080,Payment to Business Tools,GL Entry: GLOBAL SERV,64.28,"[""amount_only_match""]",amount_only,25525.36,25561.08,35.72,2024-02-16 00:00:00,2024-01-11 00:00:00,36,,,
BANK000025,GL000327,Payment to Smith & Co,GL Entry: GLOBAL SERV,77.15,"[""amount_only_match""]",amount_only,5571.49,5548.64,22.85,2024-11-17 00:00:00,2024-07-20 00:00:00,120,,,
BANK000026,GL000086,Payment to Audit Solutions,GL Entry: ABC INC,86.92,"[""amount_only_match""]",amount_only,29860.81,29847.73,13.08,2024-07-16 00:00:00,2024-01-04 00:00:00,194,,,
BANK000027,GL000328,Payment to ABC Inc,GL Entry: TECH SOL,18.93,"[""amount_only_match""]",amount_only,26502.81,26583.88,81.07,2024-10-10 00:00:00,2024-01-19 00:00:00,265,,,
BANK000028,GL000169,Payment to Business Tools,GL Entry: XYZ Corporation,39.7,"[""amount_only_match""]",amount_only,34117.35,34057.05,60.3,2024-10-01 00:00:00,2024-12-08 00:00:00,68,,,
BANK000029,GL000288,Payment to Audit Solutions,GL Entry: Global Services,76.55,"[""amount_only_match""]",amount_only,17074.76,17051.31,23.45,2024-05-30 00:00:00,2024-06-19 00:00:00,20,,,
BANK000030,GL000517,Payment to Data Systems,GL Entry: TECH SOL,56.92,"[""amount_only_match""]",amount_only,47695.41,47652.33,43.08,2024-05-14 00:00:00,2024-02-06 00:00:00,98,,,
BANK000031,GL000210,Payment to Tech Solutions,GL Entry: XYZ CORP,88.63,"[""amount_only_match""]",amount_only,45640.13,45651.5,11.37,2024-11-16 00:00:00,2024-08-18 00:00:00,90,,,
BANK000032,GL000069,Payment to Finance Partners,GL Entry: Smith & Co,2.42,"[""amount_only_match""]",amount_only,30487.61,30585.19,97.58,2024-03-19 00:00:00,2024-09-23 00:00:00,188,,,
BANK000033,GL000225,Payment to ABC Inc,GL Entry: Global Svcs,14.54,"[""amount_only_match""]",amount_only,47679.64,47594.18,85.46,2024-09-28 00:00:00,2024-10-15 00:00:00,17,,,
BANK000034,GL000635,Payment to Business Tools,GL Entry: XYZ Corp,33.91,"[""amount_only_match""]",amount_only,1071.89,1005.8,66.09,2024-07-04 00:00:00,2024-05-25 00:00:00,40,,,
BANK000035,GL000060,Payment to XYZ Corp,GL Entry: XYZ Corporation,66.49,"[""amount_only_match""]",amount_only,12119.49,12153.0,33.51,2024-10-17 00:00:00,2024-06-16 00:00:00,123,,,
BANK000036,GL000050,Payment to Business Tools,GL Entry: X Y Z Corp,89.44,"[""amount_only_match""]",amount_only,24350.92,24340.36,10.56,2024-02-05 00:00:00,2024-05-19 00:00:00,104,,,
BANK000037,GL000301,Payment to Data Systems,GL Entry: ABC Inc,13.11,"[""amount_only_match""]",amount_only,6506.73,6419.84,86.89,2024-08-31 00:00:00,2024-11-25 00:00:00,86,,,
BANK000038,GL000062,Payment to Global Services,GL Entry: TS Inc,31.43,"[""amount_only_match""]",amount_only,43634.41,43702.98,68.57,2024-08-04 00:00:00,2024-10-08 00:00:00,65,,,
BANK000039,GL000278,Payment to Software House,GL Entry: Tech Solutions,86.8,"[""amount_only_match""]",amount_only,35676.15,35689.35,13.2,2024-07-23 00:00:00,2024-11-26 00:00:00,126,,,
BANK000040,GL000173,Payment to XYZ Corp,GL Entry: TECH SOL,94.58,"[""amount_only_match""]",amount_only,44990.74,44985.32,5.42,2024-08-19 00:00:00,2024-01-06 00:00:00,226,,,
BANK000041,GL000917,Payment to Data Systems,GL Entry: Tech Solutions LLC,36.71,"[""amount_only_match""]",amount_only,16970.47,16907.18,63.29,2024-10-28 00:00:00,2024-08-28 00:00:00,61,,,
BANK000042,GL000406,Payment to Software House,GL Entry: TECH SOLUTIONS,64.47,"[""amount_only_match""]",amount_only,458.82,494.35,35.53,2024-12-28 00:00:00,2024-11-23 00:00:00,35,,,
BANK000043,GL000049,Payment to Finance Partners,GL Entry: A B C Inc,19.9,"[""amount_only_match""]",amount_only,3463.28,3543.38,80.1,2024-01-17 00:00:00,2024-12-11 00:00:00,329,,,
BANK000044,GL000467,Payment to Consulting Group,GL Entry: XYZ Corporation,67.85,"[""amount_only_match""]",amount_only,11976.43,11944.28,32.15,2024-12-08 00:00:00,2024-12-25 00:00:00,17,,,
BANK000045,GL000367,Payment to Cloud Services,GL Entry: SMITH CO,26.3,"[""amount_only_match""]",amount_only,36195.29,36268.99,73.7,2024-10-19 00:00:00,2024-09-12 00:00:00,37,,,
BANK000046,GL000463,Payment to XYZ Corp,GL Entry: Global Services,8.82,"[""amount_only_match""]",amount_only,40394.1,40485.28,91.18,2024-04-07 00:00:00,2024-10-16 00:00:00,192,,,
BANK000047,GL001091,Payment to Audit Solutions,GL Entry: A B C Inc,89.95,"[""amount_only_match""]",amount_only,21609.45,21619.5,10.05,2024-08-04 00:00:00,2024-04-20 00:00:00,106,,,
BANK000048,GL000007,Payment to XYZ Corp,GL Entry: Smith Co.,26.01,"[""amount_only_match""]",amount_only,33700.89,33626.9,73.99,2024-11-26 00:00:00,2024-10-09 00:00:00,48,,,
BANK000049,GL000172,Payment to Global Services,GL Entry: TECH SOL,18.54,"[""amount_only_match""]",amount_only,36437.86,36519.32,81.46,2024-02-25 00:00:00,2024-10-27 00:00:00,245,,,
BANK000050,GL000740,Payment to Smith & Co,GL Entry: ABC Inc.,60.97,"[""amount_only_match""]",amount_only,22485.82,22446.79,39.03,2024-08-04 00:00:00,2024-01-15 00:00:00,202,,,
BANK000051,GL000480,Payment to Consulting Group,GL Entry: Global Services Inc,31.16,"[""amount_only_match""]",amount_only,43736.85,43805.69,68.84,2024-02-08 00:00:00,2024-07-03 00:00:00,146,,,
BANK000052,GL000334,Payment to Data Systems,GL Entry: Global Services,16.72,"[""amount_only_match""]",amount_only,4985.65,4902.37,83.28,2024-11-29 00:00:00,2024-12-31 00:00:00,32,,,
BANK000053,GL000031,Payment to Smith & Co,GL Entry: Global Services,1.43,"[""amount_only_match""]",amount_only,46325.71,46424.28,98.57,2024-05-01 00:00:00,2024-05-05 00:00:00,4,,,
BANK000054,GL000264,Payment to ABC Inc,GL Entry: GLOBAL SERVICES INC,43.3,"[""amount_only_match""]",amount_only,10765.99,10822.69,56.7,2024-07-24 00:00:00,2024-06-03 00:00:00,51,,,
BANK000055,GL000304,Payment to Business Tools,GL Entry: ABC INCORPORATED,15.46,"[""amount_only_match""]",amount_only,49266.91,49182.37,84.54,2024-05-15 00:00:00,2024-01-18 00:00:00,118,,,
BANK000056,GL000144,Payment to Software House,GL Entry: Global Svcs,92.87,"[""amount_only_match""]",amount_only,21208.07,21200.94,7.13,2024-10-11 00:00:00,2024-01-24 00:00:00,261,,,
BANK000057,GL000525,Payment to ABC Inc,GL Entry: Tech Solutions,65.02,"[""amount_only_match""]",amount_only,9575.9,9540.92,34.98,2024-04-21 00:00:00,2024-09-29 00:00:00,161,,,
BANK000058,GL000318,Payment to ABC Inc,GL Entry: ABC Inc.,2.03,"[""amount_only_match""]",amount_only,3141.78,3043.81,97.97,2024-06-09 00:00:00,2024-10-04 00:00:00,117,,,
BANK000059,GL000018,Payment to Smith & Co,GL Entry: Global Services,13.29,"[""amount_only_match""]",amount_only,23891.75,23805.04,86.71,2024-09-28 00:00:00,2024-05-26 00:00:00,125,,,
BANK000060,GL000166,Payment to XYZ Corp,GL Entry: GLOBAL SERVICES INC,70.55,"[""amount_only_match""]",amount_only,25440.64,25411.19,29.45,2024-04-05 00:00:00,2024-04-01 00:00:00,4,,,
BANK000061,GL000087,Payment to XYZ Corp,GL Entry: TECH SOL,67.08,"[""amount_only_match""]",amount_only,43104.78,43071.86,32.92,2024-07-25 00:00:00,2024-02-27 00:00:00,149,,,
BANK000062,GL000162,Payment to ABC Inc,GL Entry: Global Services Inc,4.45,"[""amount_only_match""]",amount_only,12386.15,12481.7,95.55,2024-10-31 00:00:00,2024-09-22 00:00:00,39,,,
BANK000063,GL000124,Payment to Data Systems,GL Entry: A B C Inc,11.39,"[""amount_only_match""]",amount_only,32902.92,32991.53,88.61,2024-10-16 00:00:00,2024-01-29 00:00:00,261,,,
BANK000064,GL000037,Payment to Global Services,GL Entry: GLOBAL SERV,7.9,"[""amount_only_match""]",amount_only,10292.53,10200.43,92.1,2024-06-09 00:00:00,2024-10-12 00:00:00,125,,,
BANK000065,GL000321,Payment to Consulting Group,GL Entry: X Y Z Corp,7.9,"[""amount_only_match""]",amount_only,33617.34,33525.24,92.1,2024-06-02 00:00:00,2024-02-21 00:00:00,102,,,
BANK000066,GL000076,Payment to Cloud Services,GL Entry: Global Services Inc,28.33,"[""amount_only_match""]",amount_only,564.84,636.51,71.67,2024-11-14 00:00:00,2024-12-08 00:00:00,24,,,
BANK000067,GL000434,Payment to Tech Solutions,GL Entry: Global Svcs,36.87,"[""amount_only_match""]",amount_only,26927.96,26864.83,63.13,2024-09-16 00:00:00,2024-02-09 00:00:00,220,,,
BANK000068,GL000116,Payment to Finance Partners,GL Entry: ABC Inc,19.14,"[""amount_only_match""]",amount_only,44055.12,44135.98,80.86,2024-05-05 00:00:00,2024-09-27 00:00:00,145,,,
BANK000069,GL000072,Payment to Tech Solutions,GL Entry: TECH SOLUTIONS,95.37,"[""amount_only_match""]",amount_only,41703.87,41708.5,4.63,2024-12-26 00:00:00,2024-12-06 00:00:00,20,,,
BANK000070,GL000438,Payment to Data Systems,GL Entry: SMITH AND CO,51.09,"[""amount_only_match""]",amount_only,26494.14,26543.05,48.91,2024-12-07 00:00:00,2024-12-21 00:00:00,14,,,
BANK000071,GL000217,Payment to Tech Solutions,GL Entry: XYZ Corporation,20.14,"[""amount_only_match""]",amount_only,5268.97,5189.11,79.86,2024-03-09 00:00:00,2024-06-26 00:00:00,109,,,
BANK000072,GL000157,Payment to Tech Solutions,GL Entry: XYZ Corporation,86.04,"[""amount_only_match""]",amount_only,37146.59,37132.63,13.96,2024-03-20 00:00:00,2024-12-03 00:00:00,258,,,
BANK000073,GL000028,Payment to Software House,GL Entry: XYZ CORP,99.5,"[""amount_only_match""]",amount_only,35908.85,35908.35,0.5,2024-04-14 00:00:00,2024-02-09 00:00:00,65,,,
BANK000074,GL000142,Payment to ABC Inc,GL Entry: TECH SOL,80.98,"[""amount_only_match""]",amount_only,25319.91,25300.89,19.02,2024-05-08 00:00:00,2024-07-02 00:00:00,55,,,
BANK000075,GL000308,Payment to ABC Inc,GL Entry: TECH SOLUTIONS,32.82,"[""amount_only_match""]",amount_only,21236.43,21169.25,67.18,2024-05-21 00:00:00,2024-10-29 00:00:00,161,,,
BANK000076,GL000010,Payment to Tech Solutions,GL Entry: TS Inc,11.12,"[""amount_only_match""]",amount_only,38578.85,38667.73,88.88,2024-11-22 00:00:00,2024-06-21 00:00:00,154,,,
BANK000077,GL000370,Payment to Data Systems,GL Entry: X Y Z Corp,21.8,"[""amount_only_match""]",amount_only,27628.85,27707.05,78.2,2024-08-06 00:00:00,2024-05-08 00:00:00,90,,,
BANK000078,GL000073,Payment to Smith & Co,GL Entry: A B C Inc,5.67,"[""amount_only_match""]",amount_only,3854.67,3949.0,94.33,2024-12-19 00:00:00,2024-07-12 00:00:00,160,,,
BANK000079,GL000409,Payment to Audit Solutions,GL Entry: ABC Inc,43.41,"[""amount_only_match""]",amount_only,29167.23,29223.82,56.59,2024-03-16 00:00:00,2024-06-27 00:00:00,103,,,
BANK000080,GL000036,Payment to Finance Partners,GL Entry: TECH SOL,32.06,"[""amount_only_match""]",amount_only,18296.11,18364.05,67.94,2024-01-21 00:00:00,2024-03-07 00:00:00,46,,,
BANK000081,GL000038,Payment to Business Tools,GL Entry: ABC Inc,72.89,"[""amount_only_match""]",amount_only,33379.98,33352.87,27.11,2024-06-30 00:00:00,2024-08-12 00:00:00,43,,,
BANK000082,GL000376,Payment to Global Services,GL Entry: Global Services,48.71,"[""amount_only_match""]",amount_only,48694.47,48745.76,51.29,2024-03-20 00:00:00,2024-10-08 00:00:00,202,,,
BANK000083,GL000761,Payment to Smith & Co,GL Entry: Smith Co.,37.41,"[""amount_only_match""]",amount_only,44082.67,44020.08,62.59,2024-01-13 00:00:00,2024-04-06 00:00:00,84,,,
BANK000084,GL000582,Payment to Business Tools,GL Entry: A B C Inc,83.95,"[""amount_only_match""]",amount_only,39141.09,39125.04,16.05,2024-07-29 00:00:00,2024-05-02 00:00:00,88,,,
BANK000085,GL000543,Payment to XYZ Corp,GL Entry: Global Services Inc,76.83,"[""amount_only_match""]",amount_only,13413.6,13390.43,23.17,2024-12-25 00:00:00,2024-09-15 00:00:00,101,,,
BANK000086,GL000044,Payment to Global Services,GL Entry: XYZ Corp,97.8,"[""amount_only_match""]",amount_only,42943.8,42946.0,2.2,2024-04-23 00:00:00,2024-11-19 00:00:00,210,,,
BANK000087,GL000722,Payment to Global Services,GL Entry: XYZ Corporation,47.21,"[""amount_only_match""]",amount_only,17547.96,17495.17,52.79,2024-04-26 00:00:00,2024-05-05 00:00:00,9,,,
BANK000088,GL000130,Payment to Tech Solutions,GL Entry: XYZ Corporation,42.46,"[""amount_only_match""]",amount_only,9737.18,9794.72,57.54,2024-06-17 00:00:00,2024-03-15 00:00:00,94,,,
BANK000089,GL001041,Payment to Audit Solutions,GL Entry: SMITH AND CO,74.33,"[""amount_only_match""]",amount_only,17622.19,17596.52,25.67,2024-09-17 00:00:00,2024-11-13 00:00:00,57,,,
BANK000090,GL000092,Payment to XYZ Corp,GL Entry: XYZ CORP,92.3,"[""amount_only_match""]",amount_only,16624.38,16616.68,7.7,2024-01-15 00:00:00,2024-04-06 00:00:00,82,,,
BANK000091,GL000155,Payment to ABC Inc,GL Entry: Global Services,6.14,"[""amount_only_match""]",amount_only,9010.53,9104.39,93.86,2024-05-15 00:00:00,2024-03-13 00:00:00,63,,,
BANK000092,GL000311,Payment to Audit Solutions,GL Entry: ABC Inc,73.16,"[""amount_only_match""]",amount_only,17349.79,17376.63,26.84,2024-06-09 00:00:00,2024-06-07 00:00:00,2,,,
BANK000093,GL000094,Payment to Global Services,GL Entry: X Y Z Corp,45.72,"[""amount_only_match""]",amount_only,5870.72,5925.0,54.28,2024-10-22 00:00:00,2024-12-24 00:00:00,63,,,
BANK000094,GL000276,Payment to Software House,GL Entry: A B C Inc,63.29,"[""amount_only_match""]",amount_only,184.39,147.68,36.71,2024-10-02 00:00:00,2024-06-07 00:00:00,117,,,
BANK000095,GL000768,Payment to XYZ Corp,GL Entry: Global Services Inc,98.39,"[""amount_only_match""]",amount_only,9932.05,9933.66,1.61,2024-08-08 00:00:00,2024-03-19 00:00:00,142,,,
BANK000096,GL000126,Payment to XYZ Corp,GL Entry: Global Services,85.67,"[""amount_only_match""]",amount_only,31195.45,31209.78,14.33,2024-12-05 00:00:00,2024-04-12 00:00:00,237,,,
BANK000097,GL000446,Payment to Audit Solutions,GL Entry: SMITH CO,90.98,"[""amount_only_match""]",amount_only,25405.41,25396.39,9.02,2024-12-07 00:00:00,2024-11-20 00:00:00,17,,,
BANK000098,GL000181,Payment to Audit Solutions,GL Entry: Smith Co.,93.15,"[""amount_only_match""]",amount_only,27765.18,27758.33,6.85,2024-04-08 00:00:00,2024-09-16 00:00:00,161,,,
BANK000099,GL000079,Payment to Cloud Services,GL Entry: SMITH CO,8.23,"[""amount_only_match""]",amount_only,33898.17,33989.94,91.77,2024-03-30 00:00:00,2024-05-12 00:00:00,43,,,
BANK000100,GL000088,Payment to Tech Solutions,GL Entry: Tech Solutions,49.84,"[""amount_only_match""]",amount_only,27442.07,27391.91,50.16,2024-01-01 00:00:00,2024-07-31 00:00:00,212,,,
BANK000101,GL000263,Payment to Software House,GL Entry: ABC INCORPORATED,33.19,"[""amount_only_match""]",amount_only,39309.37,39376.18,66.81,2024-11-06 00:00:00,2024-08-08 00:00:00,90,,,
BANK000102,GL000022,Payment to Data Systems,GL Entry: Smith Co.,66.46,"[""amount_only_match""]",amount_only,22163.77,22197.31,33.54,2024-04-19 00:00:00,2024-03-12 00:00:00,38,,,
BANK000103,GL000317,Payment to Data Systems,GL Entry: XYZ Corporation,71.41,"[""amount_only_match""]",amount_only,32976.65,33005.24,28.59,2024-05-25 00:00:00,2024-08-07 00:00:00,74,,,
BANK000104,GL000131,Payment to Software House,GL Entry: ABC INC,26.27,"[""amount_only_match""]",amount_only,16825.89,16752.16,73.73,2024-04-30 00:00:00,2024-06-20 00:00:00,51,,,
BANK000105,GL000029,Payment to Global Services,GL Entry: SMITH AND CO,99.61,"[""amount_only_match""]",amount_only,7452.96,7452.57,0.39,2024-01-24 00:00:00,2024-01-04 00:00:00,20,,,
BANK000106,GL000111,Payment to Consulting Group,GL Entry: Tech Solutions LLC,34.26,"[""amount_only_match""]",amount_only,42501.91,42567.65,65.74,2024-02-07 00:00:00,2024-03-20 00:00:00,42,,,
BANK000107,GL000259,Payment to Audit Solutions,GL Entry: ABC INC,61.69,"[""amount_only_match""]",amount_only,28825.98,28787.67,38.31,2024-12-22 00:00:00,2024-06-23 00:00:00,182,,,
BANK000108,GL000305,Payment to ABC Inc,GL Entry: XYZ Corp,19.07,"[""amount_only_match""]",amount_only,7463.81,7382.88,80.93,2024-12-18 00:00:00,2024-08-23 00:00:00,117,,,
BANK000109,GL000377,Payment to Smith & Co,GL Entry: ABC Inc.,38.63,"[""amount_only_match""]",amount_only,38943.18,38881.81,61.37,2024-04-22 00:00:00,2024-09-19 00:00:00,150,,,
BANK000110,GL000199,Payment to Global Services,GL Entry: TS Inc,77.77,"[""amount_only_match""]",amount_only,23281.04,23303.27,22.23,2024-10-12 00:00:00,2024-08-05 00:00:00,68,,,
BANK000111,GL000230,Payment to Software House,GL Entry: Smith & Co,46.58,"[""amount_only_match""]",amount_only,22877.45,22824.03,53.42,2024-08-25 00:00:00,2024-05-20 00:00:00,97,,,
BANK000112,GL000405,Payment to Cloud Services,GL Entry: Smith & Co,23.03,"[""amount_only_match""]",amount_only,29813.07,29890.04,76.97,2024-08-14 00:00:00,2024-10-17 00:00:00,64,,,
BANK000113,GL000482,Payment to Consulting Group,GL Entry: Smith Co.,81.76,"[""amount_only_match""]",amount_only,21394.36,21376.12,18.24,2024-10-07 00:00:00,2024-12-20 00:00:00,74,,,
BANK000114,GL000762,Payment to Software House,GL Entry: TECH SOL,66.64,"[""amount_only_match""]",amount_only,22558.48,22591.84,33.36,2024-05-06 00:00:00,2024-10-22 00:00:00,169,,,
BANK000115,GL000184,Payment to Tech Solutions,GL Entry: ABC INCORPORATED,76.65,"[""amount_only_match""]",amount_only,24281.39,24304.74,23.35,2024-05-02 00:00:00,2024-12-07 00:00:00,219,,,
BANK000116,GL000167,Payment to Finance Partners,GL Entry: TECH SOLUTIONS,16.68,"[""amount_only_match""]",amount_only,11801.23,11717.91,83.32,2024-06-20 00:00:00,2024-07-05 00:00:00,15,,,
BANK000117,GL000533,Payment to Audit Solutions,GL Entry: Tech Solutions LLC,72.1,"[""amount_only_match""]",amount_only,7004.87,7032.77,27.9,2024-04-28 00:00:00,2024-09-18 00:00:00,143,,,
BANK000118,GL000195,Payment to Finance Partners,GL Entry: ABC Inc.,12.58,"[""amount_only_match""]",amount_only,3305.02,3392.44,87.42,2024-07-27 00:00:00,2024-09-23 00:00:00,58,,,
BANK000119,GL000212,Payment to Audit Solutions,GL Entry: Smith & Company,50.42,"[""amount_only_match""]",amount_only,3207.06,3256.64,49.58,2024-08-03 00:00:00,2024-11-07 00:00:00,96,,,
BANK000120,GL000052,Payment to Business Tools,GL Entry: Smith & Company,38.98,"[""amount_only_match""]",amount_only,47308.5,47247.48,61.02,2024-01-11 00:00:00,2024-01-07 00:00:00,4,,,
BANK000121,GL000683,Payment to Tech Solutions,GL Entry: X Y Z Corp,67.83,"[""amount_only_match""]",amount_only,394.21,362.04,32.17,2024-06-29 00:00:00,2024-01-26 00:00:00,155,,,
BANK000122,GL000691,Payment to Business Tools,GL Entry: Smith & Co,68.79,"[""amount_only_match""]",amount_only,26957.21,26926.0,31.21,2024-10-06 00:00:00,2024-11-12 00:00:00,37,,,
BANK000123,GL000415,Payment to Audit Solutions,GL Entry: TECH SOLUTIONS,49.83,"[""amount_only_match""]",amount_only,24462.65,24512.82,50.17,2024-05-19 00:00:00,2024-07-30 00:00:00,72,,,
BANK000124,GL000845,Payment to Business Tools,GL Entry: ABC Inc.,83.21,"[""amount_only_match""]",amount_only,16872.86,16856.07,16.79,2024-12-13 00:00:00,2024-04-08 00:00:00,249,,,
BANK000125,GL000150,Payment to Cloud Services,GL Entry: TECH SOLUTIONS,41.79,"[""amount_only_match""]",amount_only,42041.23,41983.02,58.21,2024-03-06 00:00:00,2024-12-23 00:00:00,292,,,
BANK000126,GL000024,Payment to ABC Inc,GL Entry: Smith & Company,22.94,"[""amount_only_match""]",amount_only,29635.45,29712.51,77.06,2024-12-05 00:00:00,2024-01-25 00:00:00,315,,,
BANK000127,GL000892,Payment to Smith & Co,GL Entry: ABC INC,8.62,"[""amount_only_match""]",amount_only,21487.78,21396.4,91.38,2024-08-24 00:00:00,2024-09-04 00:00:00,11,,,
BANK000128,GL000390,Payment to Consulting Group,GL Entry: Global Services,49.0,"[""amount_only_match""]",amount_only,19017.28,19068.28,51.0,2024-04-18 00:00:00,2024-07-14 00:00:00,87,,,
BANK000129,GL000141,Payment to Tech Solutions,GL Entry: SMITH CO,58.8,"[""amount_only_match""]",amount_only,13985.01,14026.21,41.2,2024-08-03 00:00:00,2024-03-23 00:00:00,133,,,
BANK000130,GL000715,Payment to ABC Inc,GL Entry: Smith & Co,14.43,"[""amount_only_match""]",amount_only,1067.23,981.66,85.57,2024-10-03 00:00:00,2024-05-18 00:00:00,138,,,
BANK000131,GL000129,Payment to Business Tools,GL Entry: GLOBAL SERVICES INC,88.54,"[""amount_only_match""]",amount_only,11288.69,11277.23,11.46,2024-02-05 00:00:00,2024-08-13 00:00:00,190,,,
BANK000132,GL001079,Payment to Global Services,GL Entry: ABC INCORPORATED,5.74,"[""amount_only_match""]",amount_only,37736.24,37641.98,94.26,2024-05-06 00:00:00,2024-09-27 00:00:00,144,,,
BANK000133,GL000236,Payment to Consulting Group,GL Entry: ABC Inc,21.11,"[""amount_only_match""]",amount_only,7703.88,7624.99,78.89,2024-03-05 00:00:00,2024-03-30 00:00:00,25,,,
BANK000134,GL000152,Payment to Digital Agency,GL Entry: TECH SOLUTIONS,95.07,"[""amount_only_match""]",amount_only,47393.08,47388.15,4.93,2024-08-26 00:00:00,2024-04-04 00:00:00,144,,,
BANK000135,GL000128,Payment to Digital Agency,GL Entry: XYZ CORP,1.93,"[""amount_only_match""]",amount_only,8472.68,8374.61,98.07,2024-11-06 00:00:00,2024-04-29 00:00:00,191,,,
